,name,content,date,like,place,tags,link,follower,follow
63,카페하이웨스트,⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀나중에 다시 와야지아쉬운 맘에 내 지분 🤧𓈒𓈒#하이웨스트익선#거셀 #인증샷,2020-11-11,62,,"['#하이웨스트익선', '#거셀', '#인증샷']",https://www.instagram.com/jeong_iny/,1128,97
64,카페하이웨스트,"⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀햇살 그득하니 짱짱 예쁘구 ✨빵돌이도 넘 신나 보였는데,,포장이라도 할 걸 그랬나 😭𓈒𓈒#익선동 #카페하이웨스트#노키즈존 #엄마가미안해",2020-11-11,76,,"['#익선동', '#카페하이웨스트', '#노키즈존', '#엄마가미안해']",https://www.instagram.com/jeong_iny/,1128,97
65,카페하이웨스트,오늘도 만나요❤️#하이웨스트익선 #카페하이웨스트 #익선동카페 #카페 #카페인테리어 #cafehighwaist #cafehighwaistikseon #익선동 #카페오픈 #익선동빵집 #익선동케이크 #익선동디저트,2020-11-11,204,하이웨스트익선,"['#하이웨스트익선', '#카페하이웨스트', '#익선동카페', '#카페', '#카페인테리어', '#cafehighwaist', '#cafehighwaistikseon', '#익선동', '#카페오픈', '#익선동빵집', '#익선동케이크', '#익선동디저트']",https://www.instagram.com/cafe_highwaist/,3397,3
66,카페하이웨스트,"Cafe Highwaist (ソウル　イクソンドン)カフェハイウェイスト益善(イクソン)店に行ってきました。　今年4月にオープンしたこちらのカフェ。ケーキも🍰スコーンも店内も何もかもが、可愛くて、癒されました😊😊 Everything was so cute!Oh, it made me feel so comfortable!#韓国 #ソウル　#イクソンドン#益善洞#カフェハイウェイスト#cafehighwaist #韓国カフェ　#ソウルカフェ#イクソンドンカフェ#韓国在住　#韓国駐在妻#카페하이웨스트익선점#카페하이웨스트",2020-11-11,25,,"['#韓国', '#ソウル', '#イクソンドン', '#益善洞', '#カフェハイウェイスト', '#cafehighwaist', '#韓国カフェ', '#ソウルカフェ', '#イクソンドンカフェ', '#韓国在住', '#韓国駐在妻', '#카페하이웨스트익선점', '#카페하이웨스트']",https://www.instagram.com/milk.lny/,114,85
67,카페하이웨스트,🍩🍪🍓🧁🍰🥧🍒,2020-11-10,162,하이웨스트익선,[],https://www.instagram.com/_ssol.917/,655,195
68,카페하이웨스트,#카페하이웨스트 #먹스타그램 #피그스타그램,2020-11-10,32,,"['#카페하이웨스트', '#먹스타그램', '#피그스타그램']",https://www.instagram.com/life_of_pig__/,106,69
69,카페하이웨스트,20201110언니들이랑 맛있는 거 잔뜩 먹고 힐링된 날 ㅎㅎㅎㅎ#익선동 #온천집 #익선주택 #카페하이웨스트 #마지막케이크까지완벽 #행복해🥰,2020-11-10,30,익선동,"['#익선동', '#온천집', '#익선주택', '#카페하이웨스트', '#마지막케이크까지완벽', '#행복해🥰']",https://www.instagram.com/wjddnjs5629/,91,113
70,카페하이웨스트,"귀여운데 맛도 있음배는 부르지만 먹고 싶어서한 입씩 맛보기만 하고 포장하려고 했는데포장할게 없었,,𓃟-#밥먹고또",2020-11-10,69,Cafe Highwaist,['#밥먹고또'],https://www.instagram.com/b.e.e.n.b.e.e.n/,2967,928
71,카페하이웨스트,요기 분위기 못 잃어 . . ☀️#익선동 #하이웨스트익선,2020-11-10,250,하이웨스트익선,"['#익선동', '#하이웨스트익선']",https://www.instagram.com/_ssol.917/,655,195
72,카페하이웨스트,#하이웨스트익선 #cafehighwaist #카페하이웨스트,2020-11-09,22,하이웨스트익선,"['#하이웨스트익선', '#cafehighwaist', '#카페하이웨스트']",https://www.instagram.com/lead_into/,189,132
73,카페하이웨스트,#하이웨스트익선 #cafehighwaist #카페하이웨스트,2020-11-09,17,하이웨스트익선,"['#하이웨스트익선', '#cafehighwaist', '#카페하이웨스트']",https://www.instagram.com/lead_into/,189,132
74,카페하이웨스트,소품 하나 하나 고수의 손길이 느껴지는 곳🧡 #하이웨스트익선 #cafehighwaist #카페하이웨스트,2020-11-09,12,,"['#하이웨스트익선', '#cafehighwaist', '#카페하이웨스트']",https://www.instagram.com/lead_into/,189,132
75,카페하이웨스트,흐려서 더 분위기 좋았던오늘의 연남동#카페하이웨스트 #점심시간힐링 #급만남은즐거워,2020-11-09,70,Cafe Highwaist,"['#카페하이웨스트', '#점심시간힐링', '#급만남은즐거워']",https://www.instagram.com/rheamom_0609/,539,170
